theme,url,img,lines,author
HUMILITY,/inspirational-quotes/8282-humility-isnt-denying-your-strengths-its-being,https://assets.passiton.com/quotes/quote_artwork/8282/medium/20211119_friday_quote.jpg?1636743913,Humility isn't denying your strengths; it's being honest about your weaknesses.,<Author:0x00007f7ddc4123f8>
HUMILITY,/inspirational-quotes/7039-true-humility-is-being-able-to-accept,https://assets.passiton.com/quotes/quote_artwork/7039/medium/20211118_thursday_quote.jpg?1636743886,True humility is being able to accept criticisms as graciously as we accept compliments.,<Author:0x00007f7ddc42b650>
HUMILITY,/inspirational-quotes/8281-i-claim-to-be-a-simple-individual-liable-to-err,https://assets.passiton.com/quotes/quote_artwork/8281/medium/20211117_wednesday_quote.jpg?1636743860,"I claim to be a simple individual liable to err like any other fellow mortal. I own, however, that I have humility enough to confess my errors and to retrace my steps.",<Author:0x00007f7ddc43f2b8>
HUMILITY,/inspirational-quotes/8280-humility-is-the-ability-to-give-up-your-pride,https://assets.passiton.com/quotes/quote_artwork/8280/medium/20211116_tuesday_quote.jpg?1636743836,Humility is the ability to give up your pride and still retain your dignity.,<Author:0x00007f7ddc463f50>
HUMILITY,/inspirational-quotes/7922-pride-is-concerned-with-who-is-right-humility,https://assets.passiton.com/quotes/quote_artwork/7922/medium/20211115_monday_quote.jpg?1636743810,Pride is concerned with who is right. Humility is concerned with what is right.,<Author:0x00007f7ddc4717b8>
AMBITION,/inspirational-quotes/8030-there-is-a-loftier-ambition-than-merely-to,https://assets.passiton.com/quotes/quote_artwork/8030/medium/20201112_friday_quote.jpg?1636143095,There is a loftier ambition than merely to stand high in the world. It is to stoop down and lift mankind a little higher.,<Author:0x00007f7ddc486b18>
AMBITION,/inspirational-quotes/8279-your-ambition-should-be-to-get-as-much-life-out,https://assets.passiton.com/quotes/quote_artwork/8279/medium/20201111_thursday_quote.jpg?1636142954,"Your ambition should be to get as much life out of living as you possibly can, as much enjoyment, as much interest, as much experience, as much understanding. Not simply be what is generally called a ‘success.’",<Author:0x00007f7ddc497378>
AMBITION,/inspirational-quotes/7829-ambition-is-enthusiasm-with-a-purpose,https://assets.passiton.com/quotes/quote_artwork/7829/medium/20201110_wednesday_quote.jpg?1636142920,Ambition is enthusiasm with a purpose.,<Author:0x00007f7ddc4a1b98>
AMBITION,/inspirational-quotes/8278-ambition-fueled-by-compassion-wisdom-and,https://assets.passiton.com/quotes/quote_artwork/8278/medium/20201109_tuesday_quote.jpg?1636142894,"Ambition, fueled by compassion, wisdom and integrity, is a powerful force for good that will turn the wheels of industry and open the doors of opportunity for you and countless others.",<Author:0x00007f7ddc4ac430>
AMBITION,/inspirational-quotes/8277-when-your-ambition-is-greater-than-your-fear,https://assets.passiton.com/quotes/quote_artwork/8277/medium/20201108_monday_quote.jpg?1636142868,"When your ambition is greater than your fear, your life will get bigger than your dream.",<Author:0x00007f7ddc4be798>
LOYALTY,/inspirational-quotes/8276-the-strongest-trust-is-built-by-the-smallest,https://assets.passiton.com/quotes/quote_artwork/8276/medium/20211105_friday_quote.jpg?1635457574,"The strongest trust is built by the smallest actions, the keeping of the little promises.",<Author:0x00007f7ddc4c8f40>
LOYALTY,/inspirational-quotes/7896-you-don-t-earn-loyalty-in-a-day-you-earn,https://assets.passiton.com/quotes/quote_artwork/7896/medium/20211104_thursday_quote.jpg?1635457542,You don’t earn loyalty in a day. You earn loyalty day-by-day.,<Author:0x00007f7ddc4d9cc8>
LOYALTY,/inspirational-quotes/7899-loyalty-is-the-pledge-of-truth-to-oneself-and,https://assets.passiton.com/quotes/quote_artwork/7899/medium/20211103_wednesday_quote.jpg?1635457515,Loyalty is the pledge of truth to oneself and others.,<Author:0x00007f7ddc4e4218>
LOYALTY,/inspirational-quotes/5504-no-more-important-duty-can-be-urged-upon-those,https://assets.passiton.com/quotes/quote_artwork/5504/medium/20211102_tuesday_quote.jpg?1635457492,No more important duty can be urged upon those who are entering the great theater of life than simple loyalty to their best convictions.,<Author:0x00007f7ddc4468d8>
LOYALTY,/inspirational-quotes/7990-you-cannot-buy-loyalty-you-cannot-buy-the,https://assets.passiton.com/quotes/quote_artwork/7990/medium/20211101_monday_quote.jpg?1635457465,"You cannot buy loyalty; you cannot buy the devotion of hearts, minds, and souls. You have to earn these things.",<Author:0x00007f7ddc514a08>
GRIT,/inspirational-quotes/8275-grit-is-that-extra-something-that-separates,https://assets.passiton.com/quotes/quote_artwork/8275/medium/20211029_friday_quote.jpg?1634921264,"Grit is that ‘extra something’ that separates the most successful people from the rest. It’s the passion, perseverance, and stamina that we must channel in order to stick with our dreams until they become a reality.",<Author:0x00007f7ddc525b28>
GRIT,/inspirational-quotes/8274-grit-is-the-grain-of-character,https://assets.passiton.com/quotes/quote_artwork/8274/medium/20211028_thursday_quote.jpg?1634921240,Grit is the grain of character.,<Author:0x00007f7ddc537990>
GRIT,/inspirational-quotes/8273-we-like-to-think-of-our-champions-and-idols-as,https://assets.passiton.com/quotes/quote_artwork/8273/medium/20211027_wednesday_quote.jpg?1634921218,We like to think of our champions and idols as superheroes who were born different from us. We don’t like to think of them as relatively ordinary people who made themselves extraordinary.,<Author:0x00007f7ddc542048>
